"","formula","McFadden R2"
"1","`class` ~ `dip_y` + `NPA_3` + `diff 1 2` + `loc.B5`",0.633
"2","`class` ~ `dip_y` + `NPA_1` + `NPA_3` + `loc.B5`",0.631
"3","`class` ~ `-2-3-` + `dip_y` + `Dist(2, 7)` + `NPA_1`",0.626
"4","`class` ~ `-2-3-` + `dip_y` + `NPA_3` + `diff 1 2`",0.626
"5","`class` ~ `dip_y` + `Dist(2, 7)` + `NPA_3` + `diff 1 2`",0.615
"6","`class` ~ `Total` + `NPA_3` + `diff 1 2` + `loc.B5`",0.612
"7","`class` ~ `dip_y` + `Dist(2, 7)` + `NPA_1` + `NPA_3`",0.611
"8","`class` ~ `Total` + `NPA_1` + `NPA_3` + `loc.B5`",0.611
"9","`class` ~ `Total` + `diff 1 2` + `diff 2 3` + `loc.B5`",0.61
"10","`class` ~ `dip_y` + `NPA_3` + `diff 1 2` + `L`",0.607
